id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,installation,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
100,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,24,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,9.6,8,通常,立平葺,8点,16082,11154,2599080,直販,C8MA24X8
101,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,25,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10,8,通常,立平葺,6点,16269,11275,2628780,直販,C8MA25X6
102,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,25,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10,8,通常,立平葺,8点,16555,11484,2675640,直販,C8MA25X8
103,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,26,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.4,8,通常,立平葺,6点,16918,11726,2733720,直販,C8MA26X6
104,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,26,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.4,8,通常,立平葺,8点,17215,11935,2781900,直販,C8MA26X8
105,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,27,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.8,8,通常,立平葺,6点,17567,12177,2838660,直販,C8MA27X6
106,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,27,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,10.8,8,通常,立平葺,8点,17886,12397,2890140,直販,C8MA27X8
107,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,28,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.2,8,通常,立平葺,6点,18216,12628,2943600,直販,C8MA28X6
108,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,28,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.2,8,通常,立平葺,8点,18546,12859,2997060,直販,C8MA28X8
109,大阪ガスファイナンス,15年,400,maxeon,SPR-MAX3-400,29,デルタ電子,H4J_220,2,H6J_240,,6,2,1,,11.6,8,通常,立平葺,6点,18865,13079,3048540,直販,C8MA29X6
